id,tweet,url,source,user_id,user_lang,user_name,user_screen_name,user_location,media_id,media_url,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,url_display,url_expanded,keywords,place_id,place_type,place_name,place_url,place_full_name,place_country,location,user_mention_screen_name,user_mention_name,is_possibly_sensitive,is_retweeted_by_me,is_retweet,is_favorited,is_truncated,retweet_count,created_by,created_date,last_modified_by,last_modified_date
23,"This would be nice 😍 https://t.co/cpl2sDg9e8",https://t.co/cpl2sDg9e8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961633,en,loca,SaeMichelleee,"MANILA - GA",632442970214662000,,-1,NULL,-1,twitter.com/terrificvibes/…,https://twitter.com/terrificvibes/status/632603623931953154,"blue, black",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
8,"..GAIN NEW 🇫🇴🇱🇱🇴🇼🇪🇷🇸..   === >>> (http://t.co/iZhJVYH8Yr) <<< ===",http://t.co/iZhJVYH8Yr,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",416961618,en,Blessie,Chan_Blessie,,632442970214662000,,-1,NULL,-1,mcaf.ee/jnw34u?session…,http://mcaf.ee/jnw34u?session=thegreenraver&u=http%3A%2F%2Fmcaf.ee%2Fm6gvr%23ccxc485d1f2dfdfdfdfg&pin=lokeshon&sig=nEAj7biM5Ve%2BWGfzwWFluou0uNI%3D&s=tip-read-more&big=816321439660619,"blue, black",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
12,"RT @TheTumblrPosts: this makes me so emotional http://t.co/z9HTejiOrI",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",416961622,en,"Ricardo Godinez",MrRager418,Pomona,632442970214662000,http://pbs.twimg.com/ext_tw_video_thumb/632281263785689088/pu/img/3sxK1StCYM2bZv4L.jpg,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",TheTumblrPosts,"Bitch Code.",false,false,true,false,false,2255,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
20,"RT @SheProbAHoeIf: she a hoe if her eyeliner look like this http://t.co/7lB5jeoWzC",,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",416961630,en,angie,cumpleted,"fl | ig : angela_walczak",632442970214662000,http://pbs.twimg.com/media/CLfbDxUUwAAjag0.jpg,-1,NULL,-1,,,"blue, black",,,,,,,"37.7752,-122.4232",SheProbAHoeIf,"She Prob A Hoe If",false,false,true,false,false,1612,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
5,"1880-S  MORGAN SILVER DOLLAR HIGH GRADE http://t.co/eYN0EFLOzA http://t.co/vwaRjP3ipU",http://t.co/eYN0EFLOzA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",416961615,es,"extremely prodigious",padillaryanpad,,632442970214662000,http://pbs.twimg.com/media/CMd6LG7WsAAasFK.jpg,-1,NULL,-1,…holesale-super-reviews.newoffers.info/buy/01/?query=…,http://great-buy-wholesale-super-reviews.newoffers.info/buy/01/?query=361365259305,"blue, black",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,0,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
13,"Yep.wait foooor it https://t.co/bnIhHSuQr1",https://t.co/bnIhHSuQr1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961623,en,Tso,IamTsotso,"Inner Rihanna",632442970214662000,,-1,NULL,-1,twitter.com/iammuzo/status…,https://twitter.com/iammuzo/status/632599207107514368,"red, green",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
17,"You're the best human being on earth and I wish everyone was just like you are @Harry_Styles. Mind following me? All the love .xx38.362",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",416961627,en-gb,"m loves h",xlovinghes,"tmht 26-5-2013 wwat 13-7-2014",632442970214662000,,-1,NULL,-1,,,"blue, black",,,,,,,"37.7752,-122.4232",Harry_Styles,"Harry Styles.",false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
26,"RT @baddest: lemme spell princess with my tongue on ur pussy",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961636,en,☯YoungHippie333ॐ,Inkd_Up_Sleepy,"Huntington Beach ",632442970214662000,,-1,NULL,-1,,,"blue, black",,,,,,,"37.7752,-122.4232",baddest,godfather,false,false,true,false,false,625,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
2,"Callee Heidi here's a bird to put on your list of birds to photograph'd http://t.co/FBBEiLzHwr",http://t.co/FBBEiLzHwr,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",416961612,en,"Laura Love",Ferretessa,"Shelby, MI",632442970214662000,,-1,,-1,fb.me/2hkAJHYhA,http://fb.me/2hkAJHYhA,"blue, black",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
18,Besties,,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",416961628,en,"~¤Zoë Messias¤~",Zoe_Taryn,"Cape Town",632442970214662000,NULL,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
